,week,venue_type,venue_surface,away_team_id,home_team_id
168,12,outdoor,turf,4,16
169,12,outdoor,turf,23,31
170,12,outdoor,turf,26,15
171,12,retractable_dome,turf,20,13
172,12,dome,artificial,24,11
173,12,dome,artificial,18,2
174,12,outdoor,turf,6,12
175,12,outdoor,turf,3,8
176,12,outdoor,artificial,29,7
177,13,outdoor,turf,14,25
178,13,dome,artificial,1,29
179,13,outdoor,turf,15,31
180,13,outdoor,turf,28,6
181,13,outdoor,artificial,13,4
182,13,outdoor,turf,10,26
183,13,outdoor,turf,2,30
184,13,outdoor,artificial,27,18
185,13,dome,artificial,12,11
186,13,dome,artificial,5,20
187,13,outdoor,turf,9,32
188,13,outdoor,artificial,22,21
189,13,outdoor,turf,3,17
190,13,outdoor,turf,16,23
191,13,outdoor,artificial,24,19
192,13,outdoor,turf,7,8
193,14,outdoor,turf,20,30
194,14,outdoor,turf,26,16
195,14,outdoor,artificial,25,7
196,14,outdoor,turf,28,8
197,14,outdoor,turf,9,12
198,14,outdoor,turf,23,10
199,14,outdoor,turf,32,6
200,14,retractable_dome,turf,19,13
201,14,dome,artificial,11,29
202,14,retractable_dome,turf,18,1
203,14,outdoor,turf,21,17
204,14,outdoor,turf,2,5
205,14,outdoor,turf,14,15
206,14,outdoor,artificial,31,22
207,14,outdoor,artificial,27,3
208,14,outdoor,turf,4,24
209,15,dome,artificial,30,29
