,deep left,deep middle,deep right,short left,short middle,short right,team_name
1,29.466666666666665,29.583333333333332,32.75,8.25242718446602,11.556962025316455,8.631578947368421,ARI
2,27.894736842105264,20.333333333333332,23.666666666666668,9.110169491525424,9.753246753246753,8.672566371681416,ATL
3,34.92307692307692,32.333333333333336,29.5,7.213592233009709,9.897435897435898,8.137931034482758,BAL
4,29.833333333333332,25.05263157894737,28.642857142857142,8.920353982300885,11.150943396226415,8.806201550387597,BUF
5,30.416666666666668,25.384615384615383,31.1,8.02127659574468,10.026315789473685,7.559322033898305,CAR
6,35.2,23.833333333333332,31.818181818181817,8.595744680851064,14.214285714285714,8.455357142857142,CHI
7,25.307692307692307,21.555555555555557,26.571428571428573,7.991150442477876,10.008928571428571,8.453237410071942,CIN
8,28.2,21.5,35.588235294117645,10.027272727272727,13.583333333333334,9.009174311926605,CLE
9,26.933333333333334,20.0,35.1764705882353,8.766355140186915,11.88135593220339,8.131147540983607,DAL
10,29.9,23.583333333333332,29.5,7.657894736842105,9.952380952380953,8.586776859504132,DEN
11,27.0,24.785714285714285,30.0,8.657407407407407,11.345679012345679,7.537190082644628,DET
12,34.6,32.53846153846154,28.0,8.436170212765957,11.303370786516854,9.07920792079208,GB
13,25.5,28.166666666666668,26.285714285714285,9.649122807017545,10.389830508474576,7.72972972972973,HOU
14,27.05,29.818181818181817,35.63157894736842,9.68695652173913,10.883333333333333,8.310077519379846,IND
15,32.07692307692308,24.625,26.894736842105264,8.306451612903226,10.75294117647059,9.296,JAC
16,28.3,27.25,27.941176470588236,8.955357142857142,10.636363636363637,7.918181818181818,KC
17,31.384615384615383,28.5,25.153846153846153,9.222222222222221,9.867647058823529,8.675438596491228,MIA
18,32.25,29.0,36.55555555555556,7.837837837837838,10.67605633802817,9.196850393700787,MIN
19,26.333333333333332,22.666666666666668,31.541666666666668,8.691666666666666,9.945945945945946,7.609523809523809,NE
20,44.0625,22.3125,29.307692307692307,9.29,10.365853658536585,10.23076923076923,NO
21,27.77777777777778,33.5,26.285714285714285,9.579310344827586,10.316455696202532,8.664122137404581,NYG
22,26.22222222222222,32.09090909090909,27.714285714285715,9.153846153846153,10.89655172413793,8.93859649122807,NYJ
23,28.785714285714285,20.375,31.90909090909091,8.965986394557824,10.589473684210526,8.223076923076922,OAK
24,25.48148148148148,21.0,28.294117647058822,7.674074074074074,11.0,9.851851851851851,PHI
25,25.38888888888889,26.928571428571427,27.5,8.15,10.329896907216495,9.39655172413793,PIT
26,26.470588235294116,25.428571428571427,30.846153846153847,10.327433628318584,9.637931034482758,9.927927927927929,SD
27,30.05263157894737,30.22222222222222,26.923076923076923,7.526785714285714,9.527027027027026,8.408163265306122,SEA
28,28.916666666666668,31.142857142857142,29.647058823529413,8.03875968992248,10.53225806451613,7.884955752212389,SF
29,27.333333333333332,25.166666666666668,25.333333333333332,8.603603603603604,11.779069767441861,8.380645161290323,STL
30,27.571428571428573,24.09090909090909,23.727272727272727,7.846774193548387,10.157303370786517,9.115702479338843,TB
31,25.823529411764707,32.54545454545455,30.38888888888889,9.669811320754716,11.479166666666666,9.119266055045872,TEN
32,29.333333333333332,38.0,28.8,9.704545454545455,10.566265060240964,8.305785123966942,WAS
