,deep left,deep middle,deep right,short left,short middle,short right
1,26.0,23.85185185185185,36.0,9.427083333333334,10.89655172413793,11.387096774193548
2,26.76923076923077,23.933333333333334,32.0,8.628571428571428,11.336842105263157,9.088235294117647
3,27.90909090909091,22.5,27.652173913043477,7.6521739130434785,8.815533980582524,7.683453237410072
4,29.27777777777778,33.0,32.904761904761905,9.257142857142858,8.414634146341463,8.428571428571429
5,29.476190476190474,29.142857142857142,31.0,9.735849056603774,11.840909090909092,8.916666666666666
6,31.583333333333332,25.571428571428573,29.333333333333332,9.371212121212121,10.921052631578947,8.857142857142858
7,31.863636363636363,26.0,28.36842105263158,8.595238095238095,11.34920634920635,7.808333333333334
8,31.88888888888889,38.666666666666664,22.923076923076923,7.5,11.513157894736842,9.0
9,33.44444444444444,20.333333333333332,25.75,8.65625,10.666666666666666,8.703703703703704
10,25.454545454545453,25.1,32.733333333333334,8.264705882352942,11.03448275862069,8.61
11,30.916666666666668,24.333333333333332,32.0,8.335877862595419,10.764150943396226,8.651515151515152
12,31.166666666666668,30.272727272727273,28.5,9.222222222222221,9.945205479452055,7.975409836065574
13,23.470588235294116,37.285714285714285,28.4375,8.68421052631579,9.896103896103897,9.435185185185185
14,30.47826086956522,23.875,27.266666666666666,7.95,9.43939393939394,9.296610169491526
15,30.59090909090909,23.72222222222222,31.583333333333332,8.05,10.849315068493151,7.860869565217391
16,30.857142857142858,27.833333333333332,26.5,9.237113402061855,11.557377049180328,9.290322580645162
17,33.3,23.583333333333332,31.176470588235293,9.3125,9.94915254237288,8.524475524475525
18,24.833333333333332,27.5,22.833333333333332,9.123809523809523,11.444444444444445,8.115384615384615
19,28.91304347826087,31.46153846153846,35.0,9.657142857142857,12.021739130434783,8.445544554455445
20,30.833333333333332,29.416666666666668,29.05,8.273885350318471,10.404761904761905,7.543624161073826
21,24.0,33.38461538461539,45.9,9.044642857142858,11.323809523809524,8.007936507936508
22,27.11111111111111,23.0,23.647058823529413,9.8125,9.944444444444445,8.801980198019802
23,31.0,28.066666666666666,26.884615384615383,8.085714285714285,10.68235294117647,7.918032786885246
24,26.166666666666668,36.111111111111114,33.09090909090909,7.992957746478873,10.072727272727272,8.423076923076923
25,30.65,28.0,32.84,7.71304347826087,11.186046511627907,7.983471074380165
26,26.833333333333332,32.75,23.555555555555557,8.406451612903226,10.256637168141593,9.772727272727273
27,31.133333333333333,24.833333333333332,29.866666666666667,8.692307692307692,11.262295081967213,9.729508196721312
28,32.083333333333336,38.0,36.333333333333336,7.931034482758621,11.0,8.410852713178295
29,38.77777777777778,31.333333333333332,25.727272727272727,8.378048780487806,11.181818181818182,6.913978494623656
30,25.40909090909091,24.076923076923077,23.45,10.32183908045977,12.448275862068966,9.653061224489797
31,29.25,24.5,24.857142857142858,9.485436893203884,10.975903614457831,8.814159292035399
32,26.416666666666668,24.0,26.818181818181817,7.8,10.277777777777779,8.504424778761061
